Start	Message	Estimated p1	Estimated p2	PAYOFF	Simulations
1849	OK	    0.660124	     2.97964	             -213414	218730
1850	OK	   0.0088679	     3.16514	             -295143	218828
1851	OK	     1.19814	     2.81848	             -140997	218938
1853	OK	     2.74759	      2.2957	           -0.241383	219225
1854	OK	     2.74542	     2.29661	           -0.404644	219534
1855	OK	     2.74862	     2.29534	           -0.235837	219766
1856	OK	     2.71951	     2.30684	             -89.145	219841
1857	OK	     2.74829	     2.29541	           -0.533303	220147
1858	OK	    0.150411	     3.12546	             -278201	220245
1860	OK	     2.74842	     2.29537	           -0.502921	220547
1861	OK	     2.74719	       2.296	           -0.286913	220761
1862	OK	     2.74549	     2.29658	           -0.372265	221062
1863	OK	    0.913951	     2.90446	             -179351	221164
1864	OK	    0.336787	     3.07251	             -255046	221239
1865	OK	    0.494556	     3.02703	             -234779	221345
1866	OK	     2.86964	     2.24871	             -1526.2	221431
1868	OK	           0	     3.17369	             -302123	221491
1869	OK	     2.74979	     2.29494	           -0.565535	221674
1870	OK	     2.74727	     2.29592	          -0.0533583	221946
1871	OK	     0.45655	     3.03858	             -239959	222052
1872	OK	     1.47681	     2.73246	             -104441	222140
1873	OK	    0.882595	     2.91379	             -183567	222248
1874	OK	     2.74874	     2.29526	           -0.459501	222548
1875	OK	     2.93621	     2.22237	            -3732.03	222636
1876	OK	     3.51219	     1.97669	            -72165.9	222712
1877	OK	    0.684044	     2.97195	             -209927	222798
1878	OK	    0.488964	     3.02897	             -235646	222895
1879	OK	   0.0547627	     3.15184	             -289512	222991
1880	OK	     2.74637	     2.29629	           -0.282726	223280
1881	OK	     2.74841	     2.29537	           -0.486805	223570
1882	OK	     2.25239	     2.47568	            -20500.2	223659
1883	OK	     1.29841	     2.78749	             -127554	223761
1884	OK	     2.32839	     2.44952	            -15141.2	223849
1885	OK	     2.74829	     2.29541	           -0.540555	224159
1886	OK	    0.877371	     2.91535	             -184275	224261
1888	OK	     1.11487	     2.84425	             -152363	224366
1889	OK	     2.74601	     2.29641	           -0.273301	224667
1891	OK	    0.216479	     3.10633	             -269905	224768
1892	OK	    0.164684	     3.12111	             -276317	224867
1893	OK	      2.7464	     2.29628	            -0.28108	225141
1894	OK	     2.74589	     2.29635	           -0.395626	225420
1895	OK	     1.22917	     2.80926	             -136965	225510
1896	OK	      3.4472	     2.00613	            -59480.1	225593
1897	OK	     1.18842	     2.82127	             -142225	225701
1899	OK	     2.74739	     2.29592	           -0.276247	225989
1901	OK	    0.961799	     2.89049	             -173058	226087
1905	OK	           0	     3.17731	             -308837	226159
1906	OK	           0	     3.17692	             -307996	226245
1907	OK	    0.140031	     3.12821	             -279381	226346
1908	OK	   0.0554379	     3.15218	             -289653	226427
1909	OK	     1.79771	      2.6297	              -65135	226519
1910	OK	     0.32563	     3.07596	             -256579	226619
1911	OK	     2.74911	     2.29513	           -0.514485	226903
1913	OK	    0.968668	     2.88847	             -172147	226999
1914	OK	     0.84382	     2.92531	             -188784	227088
1916	OK	     2.29558	     2.46099	            -17398.1	227177
1917	OK	     1.45184	     2.74004	             -107550	227266
1918	OK	    0.907098	     2.90654	             -180289	227366
1919	OK	     3.29692	     2.07352	            -34927.7	227522
1920	OK	           0	     3.17098	             -298671	227604
1922	OK	    0.448243	     3.04068	             -240887	227694
1923	OK	    0.527779	      3.0176	             -230539	227780
1924	OK	     2.74543	     2.29661	           -0.405101	228091
1925	OK	    0.948465	     2.89416	             -174702	228180
1926	OK	     2.74523	     2.29665	           -0.451764	228471
1929	OK	   0.0235871	     3.16052	             -293198	228564
1930	OK	     2.74815	     2.29553	           -0.106389	228804
1931	OK	    0.369853	     3.06292	             -250796	228909
1933	OK	    0.058383	     3.15127	             -289265	228996
1934	OK	     2.74947	     2.29505	            -0.42819	229232
1935	OK	    0.475435	      3.0325	             -237232	229333
1936	OK	     3.22204	     2.10564	            -25494.5	229474
1937	OK	     1.34206	     2.77408	             -121818	229578
1938	OK	     2.74796	     2.29545	            -1.58734	229882
1939	OK	     2.49271	      2.3903	            -5864.07	229974
1940	OK	     2.74835	     2.29539	           -0.505075	230252
1942	OK	      3.3851	     2.03473	            -48276.8	230381
1943	OK	     1.10057	      2.8485	             -154248	230482
1944	OK	    0.389739	     3.05771	             -248491	230584
1945	OK	       2.749	     2.29515	           -0.647853	230876
1946	OK	    0.307577	     3.08046	             -258567	230984
1947	OK	     1.77213	      2.6375	            -67897.5	231073
1948	OK	     2.80159	     2.27512	            -293.326	231162
1949	OK	    0.604562	     2.99516	             -220427	231253
1950	OK	    0.057207	     3.15172	             -289459	231338
1951	OK	           0	     3.17679	             -307734	231425
1952	OK	    0.604477	     2.99547	             -220562	231520
1953	OK	   0.0503052	      3.1535	             -290211	231599
1955	OK	    0.396836	     3.05554	             -247522	231676
1956	OK	     2.74777	     2.29596	            -3.13733	231934
1957	OK	     1.94009	     2.58201	            -49179.8	232029
1958	OK	     2.74761	     2.29586	           -0.469295	232184
1960	OK	           0	     3.16894	             -296933	232272
1962	OK	     1.20446	     2.81689	             -140295	232371
1963	OK	     2.74581	     2.29648	           -0.323471	232675
1964	OK	     1.40857	     2.75373	             -113232	232776
1966	OK	      2.7491	      2.2951	           -0.753082	233057
1967	OK	     2.74848	     2.29535	           -0.507528	233345
1971	OK	   0.0107983	     3.16441	             -294833	233454
1972	OK	      2.7482	     2.29558	            -0.12941	233650
1973	OK	  0.00815487	      3.1653	             -295212	233739
1974	OK	     2.18936	     2.49786	            -25590.6	233818
1976	OK	   0.0488267	     3.15405	             -290448	233928
